FIPS,INTPTLAT,INTPTLONG,2 classes,3 classes,4 classes,5 classes,6 classes,7 classes,8 classes,9 classes,10 classes,11 classes,12 classes,13 classes,14 classes,15 classes,16 classes,17 classes,18 classes,19 classes,20 classes,21 classes,22 classes,23 classes,24 classes,25 classes,26 classes,27 classes,28 classes,29 classes,30 classes,31 classes,32 classes,33 classes,34 classes,35 classes,36 classes,37 classes,38 classes,39 classes
06007002100,39.7551658,-121.638031,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002200,39.674685,-121.6824752,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002300,39.6722796,-121.5902502,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002400,39.6655389,-121.3519555,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002500,39.5808681,-121.5372499,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002601,39.4867836,-121.4581641,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002602,39.5302628,-121.4669098,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002700,39.5228652,-121.5269455,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002800,39.5071861,-121.5606959,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007002900,39.5191072,-121.5980004,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003001,39.4956403,-121.5403556,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003002,39.477074,-121.5601305,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003100,39.4895646,-121.509062,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003200,39.429744,-121.5309393,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003300,39.3923244,-121.5065211,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003400,39.3453317,-121.6578142,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003501,39.3792483,-121.7370059,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003502,39.3257871,-121.7897864,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003600,39.4540994,-121.7723641,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06007003700,39.5164559,-121.6460664,0,1,0,0,0,5,5,5,2,0,11,11,5,5,5,5,5,5,5,5,5,5,2,2,2,0,27,27,27,27,27,27,27,27,27,27,27,27
06011000100,39.003105,-122.0142763,0,1,0,0,0,5,5,5,2,0,5,5,2,2,2,2,2,2,2,2,2,2,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
06011000200,39.1863211,-122.0259021,0,1,0,0,0,5,5,5,2,0,5,5,2,2,2,2,2,2,2,2,2,2,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
06011000300,39.1078478,-122.2818535,0,1,0,0,0,5,5,5,2,0,5,5,2,2,2,2,2,2,2,2,2,2,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
06011000400,39.2881333,-122.4155716,0,1,0,0,0,5,5,5,2,0,5,5,2,2,2,2,2,2,2,2,2,2,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
06011000500,39.314744,-121.9636465,0,1,0,0,0,5,5,5,2,0,5,5,2,2,2,2,2,2,2,2,2,2,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
06019000100,36.7369244,-119.7927732,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019000200,36.7354914,-119.8055044,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019000300,36.726462,-119.8010347,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019000400,36.7276563,-119.7762091,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019000501,36.7426787,-119.774839,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019000502,36.7444057,-119.781537,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019000600,36.743063,-119.7933565,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019000700,36.7345353,-119.8277069,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019000800,36.7067181,-119.831179,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019000901,36.7104697,-119.804301,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,34,34,34,34,34
06019000902,36.717769,-119.8042772,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,16,16,16,16,16
06019001000,36.6977507,-119.804314,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001100,36.7096952,-119.7816961,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001201,36.7107523,-119.7577716,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001202,36.7026849,-119.7410277,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001301,36.732259,-119.7499923,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001303,36.7250069,-119.7591482,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,16,16,16,16,16
06019001304,36.7250147,-119.7455349,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001407,36.7322737,-119.7273757,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001408,36.7252331,-119.7276686,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001409,36.7290408,-119.7091895,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,16,16,16,16,16
06019001410,36.711099,-119.7181677,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001411,36.7433669,-119.6911738,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001412,36.7435858,-119.6639753,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001413,36.721296,-119.6662713,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001414,36.7182935,-119.6909597,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
06019001500,36.6816,-119.7178427,1,0,1,1,1,1,0,1,1,4,4,1,1,1,0,3,1,0,3,3,3,3,3,1,0,5,2,0,6,6,6,2,0,6,6,6,6,2
